facility,Q1 CURR,DISTRICT_x,PIRS UnitID,DISTRICT_y,Q2CURR
Kabayanda HC II,103,LYANTONDE,aRs9kg1lEWy,Lyantonde District,99
Lyakajura HC II,490,LYANTONDE,e3pk4rlUWj7,Lyantonde District,514
Lyantonde Hospital,4445,LYANTONDE,Gje6ykVPZKQ,Lyantonde District,4446
Kabatema HC II,136,LYANTONDE,U3mTlziiq3m,Lyantonde District,141
Mpumudde HC III,493,LYANTONDE,A8vURIvnH87,Lyantonde District,491
Kaliiro HC III,504,LYANTONDE,MsrKKJaEXiV,Lyantonde District,511
Kasagama HC III,549,LYANTONDE,jX2AtJy4xmQ,Lyantonde District,566
Kinuuka HC III,335,LYANTONDE,n5xUbellHaN,Lyantonde District,337
Nanywa HC III,515,LWENGO,KsvZ6Mr8PYj,Lwengo District,518
Lwengo Kinoni Govt HC III,2305,LWENGO,rrOymteWVK8,Lwengo District,2319
Kiwangala HC IV,1665,LWENGO,oviT3cugAEz,Lwengo District,1690
Kyetume HC III,558,LWENGO,w53Iyr73JjT,Lwengo District,579
Lwengo HC IV,1510,LWENGO,oFI3thMRN4h,Lwengo District,1525
Katovu COU HC III,504,LWENGO,qp3zotdBH8Y,Lwengo District,520
Kakoma HC II,96,LWENGO,W1E4uVMRwXD,Lwengo District,100
Kyazanga HC IV,2152,LWENGO,VhOO7DL9Y39,Lwengo District,2214
Kisojjo HC II,70,BUKOMANSIMBI,ogD8wXFjIUD,Bukomansimbi District,72
Kagoggo HC II,99,BUKOMANSIMBI,hkoHNZAApbg,Bukomansimbi District,106
Mirambi HC III ,316,BUKOMANSIMBI,RWEo3tF0K1h,Bukomansimbi District,329
Butenga HC IV,1541,BUKOMANSIMBI,gBVBGJ2p9b3,Bukomansimbi District,1550
St. Mary'S Maternity Home HC III,90,BUKOMANSIMBI,VCIAE5Bta3H,Bukomansimbi District,89
Bigasa HC III,863,BUKOMANSIMBI,HW6fE9RYBjI,Bukomansimbi District,868
Kitanda HC III,333,BUKOMANSIMBI,aULXp2H2LGI,Bukomansimbi District,337
Kingangazzi HC II,232,BUKOMANSIMBI,dRVlZtrIfcM,Bukomansimbi District,240
Ssembabule HC IV,2419,SEMBABULE,SYB67Y2wfuD,Sembabule District,2470
Ntuusi HC IV,1042,SEMBABULE,WuDi4LmzEWV,Sembabule District,1054
Lwemiyaga HC III,1108,SEMBABULE,ioBktjTQgyS,Sembabule District,1159
Kyabi HC III,575,SEMBABULE,u0ZXCHvbs0W,Sembabule District,594
Makoole HC II,267,SEMBABULE,aRoR6TMIU2c,Sembabule District,264
Mateete HC III,2430,SEMBABULE,ajiOvkBSZBh,Sembabule District,2599
Lwebitakuli Gvt HC III,649,SEMBABULE,T7UcwZlbp1F,Sembabule District,660
Busheka (Sembabule) HC II,140,SEMBABULE,L3gSrcVk4Nj,Sembabule District,149
Ntete HC II,103,SEMBABULE,sbsaajvJPqH,Sembabule District,120
Sembabule Kabaale HC II,81,SEMBABULE,Xwz20DIVLGU,Sembabule District,82
Bukakata HC III,642,MASAKA DISTRICT,aukuvrCNcqR,Masaka District,665
Kiyumba HC IV,885,MASAKA CITY,AjaGtzC8woM,Masaka City,905
Masaka Police HC II,432,MASAKA CITY,SWWHTLQjZXW,Masaka City,437
Mpugwe HC III,326,MASAKA CITY,RvVYLDPIzPb,Masaka City,337
Nyendo HC II,424,MASAKA CITY,thfQt8hcpAP,Masaka City,461
TASO Masaka CLINIC,8184,MASAKA CITY,ZO1Hltpt3Ko,Masaka City,8189
Bukoto HC III,458,MASAKA CITY,GlyS73YI733,Masaka City,464
Kamulegu HC III,658,MASAKA DISTRICT,VQlQ4IXDdFm,Masaka District,670
Masaka Buwunga HC III GOVT,341,MASAKA DISTRICT,F826wgZ6HPF,Masaka District,349
Kyannamukaaka HC IV,1429,MASAKA DISTRICT,aTvsnjjZTyN,Masaka District,1433
Bukeeri HC III,356,MASAKA DISTRICT,aSsroXOZSIn,Masaka District,375
Lukaya HC III,767,KALUNGU,IDk3QfceRQG,Kalungu District,777
Lukaya Health Care Center-Uganda Cares HC II,3784,KALUNGU,mqCkkaqoMNA,Kalungu District,3815
Bukulula HC IV,1257,KALUNGU,DFuALUpGId9,Kalungu District,1279
Kalungu Kabaale HC II GOVT,140,KALUNGU,Cx3eXkf07dC,Kalungu District,145
Kiti HC III,187,KALUNGU,a5lQTv6RKkm,Kalungu District,192
Kalungu HC III,833,KALUNGU,wKczE4oVqOy,Kalungu District,859
MRC Kyamulibwa HC II,476,KALUNGU,CSHydY4gTN0,Kalungu District,477
Kyamulibwa Gvt HC III,436,KALUNGU,mgr6AHrRokx,Kalungu District,441
Kalungu Kasambya HC III GOVT,379,KALUNGU,MLgsYoX2xWW,Kalungu District,382
Kiragga HC III,184,KALUNGU,aGJJ5oqd2zk,Kalungu District,194
Kalangala HC IV,1377,KALANGALA,oTXa14pgh8f,Kalangala District,1419
Bufumira HC III,412,KALANGALA,mWaRCpc5hPU,Kalangala District,415
Mazinga HC III,496,KALANGALA,vM7d3ZWWl42,Kalangala District,482
Kachanga Island HC II,228,KALANGALA,smgogCHGxv3,Kalangala District,233
Bwendero HC III,1009,KALANGALA,yOzYKPK76Bq,Kalangala District,1007
Mulabana HC II,19,KALANGALA,BUPmAz8RgAa,Kalangala District,18
Bukasa HC IV,1019,KALANGALA,NKcfhEUaMHx,Kalangala District,1067
Lujjabwa Island HC II,309,KALANGALA,RuPdGm5T2zl,Kalangala District,312
Mugoye HC III,1160,KALANGALA,aeWNPmn3Zrf,Kalangala District,1176
Ssese Islands African Aids Project (SIAA,11,KALANGALA,kOlitJ9usyf,Kalangala District,9
Kasekulo HC II,7,KALANGALA,FzjQcOWAApu,Kalangala District,6
Lulamba HC III,623,KALANGALA,K3E78Mqdg2A,Kalangala District,645
Bubeke HC III,559,KALANGALA,ADhJXGIcCND,Kalangala District,618
Jaana HC II,9,KALANGALA,azzeotS1e0O,Kalangala District,9
Nabigasa HC III,861,KYOTERA,nEUuDrY5MWp,Kyotera District,885
Kabira HC III GOVT,1263,KYOTERA,KC28vpic105,Kyotera District,1278
Kalisizo Hospital,4186,KYOTERA,vV7C6Z6nEbZ,Wakiso District,39
Kasaali HC III,1243,KYOTERA,ZLJUYEZegpQ,Kyotera District,1256
Kirumba  HC III,334,KYOTERA,alzpRLW14i8,Kyotera District,345
Lwankoni HC III,285,KYOTERA,FuOuXP2WFU8,Kyotera District,290
Kabuwoko Gvt HC III,245,KYOTERA,GREWqcdtoVn,Kyotera District,262
Mutukula HC III,590,KYOTERA,X7iYabwpJfR,Kyotera District,652
Kakuuto HC IV,2730,KYOTERA,Ls1dG8v84Wu,Kyotera District,2770
Kasasa HC III,887,KYOTERA,agw4uqikZnP,Kyotera District,891
Kyebe HC III,800,KYOTERA,xP2J8wszUrR,Kyotera District,837
Mitukula HC III,1173,KYOTERA,SElLcUjqrGg,Kyotera District,1202
Kasensero HC II,1238,KYOTERA,KyCqBaEFJk5,Kyotera District,1273
Rakai Health Sciences Program CLINIC,2727,KYOTERA,aqqJXIn2j84,Kyotera District,2751
Rakai Hospital,3260,RAKAI,axNgLDj6B5Q,Rakai District,3295
Kibaale HC II GOVT,601,RAKAI,AjwnALSnLrK,Rakai District,612
Byakabanda HC III,192,RAKAI,tnBn02e8bRU,Rakai District,191
Kifamba HC III,332,RAKAI,oHu9DJNgKaV,Rakai District,339
Rakai Kiziba HC II GOVT,410,RAKAI,UjpKmijwPjr,Rakai District,429
Kibanda HC III,315,RAKAI,GbWR7VCRA6Y,Rakai District,326
Kayanja HC II Lwankoni GOVT,111,KYOTERA,zwfMFtrP9wk,Kyotera District,114
Lwanda HC III,780,RAKAI,Lo7mfA6jWTu,Rakai District,786
Lwamaggwa Gvt HC III,1030,RAKAI,oBg69iZLKtq,Rakai District,1049
Kacheera HC III,511,RAKAI,k3xgvufxeWb,Rakai District,531
Kimuli HC III,642,RAKAI,akLIpF5HNjE,Rakai District,690
Buyamba HC III,907,RAKAI,OQnJUNl390Z,Rakai District,926
Lwakalolo HC II,106,RAKAI,uLBT1C3Dhkh,Rakai District,119
St. Elizabeth Kibanga Ihu HC III,38,MPIGI,a6mnx3ok5NB,Mpigi District,39
Muduuma HC III,825,MPIGI,YxeL7JN6HKe,Mpigi District,858
Sekiwunga HC III,370,MPIGI,CB9zwzOqEbX,Mpigi District,384
Bujuuko HC III,363,MPIGI,pUZjhP8bvwF,Mpigi District,367
Kiringente Epi Centre HC II,86,MPIGI,H6IBEU3xYxV,Mpigi District,95
Fiduga HC III,22,MPIGI,VFy5xbPCzU3,Mpigi District,23
Mpigi   HC IV,3198,MPIGI,QXVOVXOy3FM,Mpigi District,3323
Nsamu-Kyali HC III,212,MPIGI,aPw8BIgtIDF,Mpigi District,216
Buyiga HC II,155,MPIGI,gxT5NVatL14,Mpigi District,166
Butoolo HC III,846,MPIGI,Co0DLFVgmGz,Mpigi District,878
Kampiringisa HC III,249,MPIGI,mm6DbH6wKeQ,Mpigi District,288
Ggolo HC III,327,MPIGI,NHQdOv9RFcN,Mpigi District,330
Kituntu HC III,346,MPIGI,anOxR20hDCC,Mpigi District,358
Nindye HC III,281,MPIGI,ZcC2OKgHUBc,Mpigi District,301
Nabyewanga HC II,152,MPIGI,PoYcxTk5yjp,Mpigi District,149
Bukasa HC II,56,MPIGI,QH5kXc4j4T1,Mpigi District,63
Bunjako HC III,534,MPIGI,X1RkzMg2Hn1,Mpigi District,553
Buwama HC III,2213,MPIGI,Vi3ibjRtMzU,Mpigi District,2287
Dona Medical Centre HC III,155,MPIGI,rmyUGedzWB2,Mpigi District,157
Bulo HC III,752,BUTAMBALA,laPnCXSZ0Oo,Butambala District,752
Ngando HC III,438,BUTAMBALA,lH80zq7z1Hg,Butambala District,450
Kyabadaza HC III,430,BUTAMBALA,qYIh49gM216,Butambala District,429
Butambala Epi Centre HC III GOVT,208,BUTAMBALA,E1TxjBqAvWB,Butambala District,221
Kitimba HC III,226,BUTAMBALA,O4sKsWoxekL,Butambala District,232
Gombe HOSPITAL,3535,BUTAMBALA,xuCJ8NBomxP,Butambala District,3521
Ngomanene HC II,148,GOMBA,Xvt0nRCNyrC,Gomba District,156
Kifampa HC III,917,GOMBA,gMSnZfci97x,Gomba District,929
Mpenja HC III,408,GOMBA,CcCjT4HFRuy,Gomba District,426
Gomba Kanoni HC III GOVT,1392,GOMBA,XsLMulDu2aw,Gomba District,1410
